Sós Chio Chips;chips.png;Élelmiszer;160;120;12;A legjobb kaja egy romantikus filmezéshez.
Wasabis Chio Chips;chips2.png;Élelmiszer;160;;8;Ugyanaz, mint a sós, csak férfiaknak.
Taccos Chio Chips;chips3.jpg;Élelmiszer;220;195;23;Mexiói ízek a koliszobában a taco-s Chio segítségével.
Paprikás Chio Chips;chips4.png;Élelmiszer;160;;0;Paprikás chips
Xtreme Chio Chips Chili;chips5.jpg;Élelmiszer;220;195;4;Kétszer csíp.
Milka csoki;csoki.png;Édességek;200;;12;Milka tejcsoki
Milka oreos;csoki2.jpg;Édességek;200;180;26;Oreos Milka
Epres joghurtos Milka;csoki3.jpg;Édességek;220;;9;Fincsi epres-joghurtos ízû csoki.
Stracsatellás fehér Boci;csoki5.jpg;Édességek;250;;121;Stracsatellás fehércsoki.
Málnás Boci;csoki4.jpg;Édességek;190;180;56;Málnás Boci csoki.
Nutella;nutella.png;Édességek;180;;5;Instant boldogság. Pár kanál Nutella elfeldteti veled a felhalmozott stresszt.
Jate belépõ;jate.jpg;Egyéb;1000;600;16;Tele a tököd a sok ZH-val? Kapcsolj ki a jatéban!
Aranyfácán ;sor.png;Sörök;130;;245;Ha már megvetted a Jate belépõt, miért mennél oda józanul? Vegyél olcsó Aranyfácán sört!
Tálca Dreher;sor2.png;Sörök;3000;;21;Lusta vagy 2 körönként lemenni egy újabb sörért? Esetleg felvillanyoz 24 doboz sör látványa? Akkor a tálcás Dreher-t neked találták ki!
Bitang Vodka;vodka.jpg;Tömény italok;1600;;17;Bitang módon lerészegedsz tõle, de azt legalább olcsón.
Új modern hûtõ;huto.jpg;Elektronikai eszközök;5000;4500;1;Unod, hogy kilopják az otthoni rántott csirkét a konyhai közös hûtõbõl? Most fillérekért a tiéd lehet ez a megbízható kis hûtõ, amiben még egy tálca Dreher is elfér a pörkölt mellett.
Jegyzettám;notes.jpg;Könyvek/Jegyzetek;4000;;3;A saját jegyzettámodat már úgyis elverted valamire… De itt egy második lehetõség!
Marlboro cigaretta 19sz;marlboro.jpg;Dohánytermékek;820;690;25;Csak megvillantod ezt a doboz Marlboro-t a buliban és rögtön mindenki téged akar majd lehúzni egy szállal…
Kék Pall Mall;Pall-mall-blue.jpg;Dohánytermékek;850;660;16;A Zöld Pall Mall kék változata.
Zöld Pall Mall;40313849_12.jpg;Dohánytermékek;850;660;7;A Kék Pall Mall zöld változata.
Gizeh töltõ hüvely;gizeh-silver-tip.jpg;Dohánytermékek;490;;0;Ennek a töltõ hüvelynek az elõnye, hogy nem csak dohányt lehet bele tölteni… 
Öngyulladós szén;ongyullados-szen.jpg;Dohánytermékek;250;200;7;10 darabos 33mm átmérõjû öngyulladós szén, fõleg vizipipázáshoz és hideg téli éjszakákhoz.
Pendrive 32Gb;clone-pendrive.jpg;Elektronikai eszközök;2300;;2;32 Gb-os Kingston pendrive, amivel filmeket és pornót cserélgethettek, ha már megint nincs net a koliban.
Acer LCD monitor;v5_series_front.jpg;Elektronikai eszközök;10000;8500;1;"23""-os, LCD monitor. Ûber király képe van, ezzel már full-HD felbontásban pasziánszozhatsz."
Marlboro iPhone tok;marlboro_iphonecase.png;Egyéb;700;;4;A rajongóknak itt az új kihagyhatatlan ajánlatunk, a Marlboros iPhone tok.
